	canny	fast	hessian	lbp	shape_index	structure
14	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00101856 -0.00923195 -0.01348994 ..., -0.01681285 -0.01371883
 -0.00089228]"	[ 769.  769.  769. ...,   56.   24.   24.]	"[ 0.48087639  0.67546905  0.80302283 ...,  0.83455721  0.71867639
  0.51370324]"	"[ 0.36188822  0.43700221  0.50266363 ...,  0.69916369  0.63061066
  0.53850422]"
15	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01171833 -0.0368699  -0.03429497 ..., -0.01402955 -0.01231473
 -0.00238173]"	[  0.   0.   0. ...,  48.  48.  48.]	"[ 0.59267869  0.78528774  0.80856033 ...,  0.83732403  0.74205564
  0.54645081]"	"[ 2.05982405  2.41807985  2.67674198 ...,  0.40443984  0.36675456
  0.31869107]"
16	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0069942  -0.04370488 -0.04828406 ...,  0.03362546  0.00978019
  0.01019959]"	[ 769.  513.  768. ...,   56.   56.   56.]	"[ 0.53679408  0.73176746  0.80735655 ...,  0.02791671  0.24501461
  0.19396703]"	"[ 4.52411071  5.24791299  5.874379   ...,  0.9281207   0.47223655
  0.31340131]"
17	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00583023 -0.02914485 -0.03138441 ..., -0.01015246 -0.00688128
 -0.00026066]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.54746467  0.73676565  0.80196026 ...,  0.86473968  0.7149655
  0.50830923]"	"[ 1.88628479  2.1992857   2.46774217 ...,  0.16592596  0.14655943
  0.12361828]"
18	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -8.63756194e-04  -6.48694588e-03  -7.42880175e-03 ...,  -2.82019419e-03
  -2.84015217e-03   6.35610849e-06]"	[  0.   0.   0. ...,  24.  24.   0.]	"[ 0.53006444  0.727076    0.81150768 ...,  0.7682146   0.69712154
  0.49959547]"	"[ 0.10242318  0.11869857  0.13368352 ...,  0.03577961  0.03210062
  0.02837243]"
19	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01872877 -0.02739011 -0.00419179 ..., -0.01320541 -0.01456523
 -0.00468865]"	[   0.    0.  513. ...,    0.    0.    0.]	"[ 0.80994926  0.97075165  0.59783386 ...,  0.85748877  0.81873695
  0.60310451]"	"[ 0.44641602  0.41741175  0.38423532 ...,  0.28154202  0.26948424
  0.24430613]"
20	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[  5.35680083e-06  -7.92650304e-04  -1.04843045e-03 ...,  -1.03128717e-03
  -1.38458491e-03  -5.73430602e-04]"	[ 769.  769.  768. ...,    0.    0.   32.]	"[ 0.4986595   0.70156761  0.81380649 ...,  0.74228007  0.8219064
  0.64389922]"	"[ 0.00197277  0.00233376  0.00266322 ...,  0.00282189  0.00249255
  0.0021024 ]"
21	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00408923 -0.00827745 -0.01740524 ..., -0.02749502 -0.02776043
 -0.00337311]"	[ 769.  769.  769. ...,   40.   40.    8.]	"[ 0.42859346  0.66174558  0.97310161 ...,  0.84441259  0.77509211
  0.5317387 ]"	"[ 0.46827842  0.50997886  0.55325822 ...,  1.50501106  1.44103857
  1.26062485]"
22	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00750637 -0.04501438 -0.0494467  ..., -0.04519672 -0.03988283
 -0.0050953 ]"	[  1.   1.   0. ...,  56.  24.  24.]	"[ 0.53860046  0.73292411  0.80677881 ...,  0.81028384  0.72538506
  0.52826754]"	"[ 4.74041191  5.50093462  6.15690624 ...,  5.31232652  4.74636986
  4.09572687]"
23	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00111292 -0.01423353 -0.01920399 ..., -0.03156052 -0.04473824
 -0.02805708]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.48564713  0.68539649  0.798339   ...,  0.78345262  0.87992266
  0.7711975 ]"	"[ 0.75167295  0.88166172  1.010983   ...,  2.31219231  2.04057651
  1.62298428]"
24	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00025536 -0.0057397  -0.0063496  ..., -0.00819928 -0.00736139
 -0.00127971]"	[ 513.  512.  512. ...,   32.   48.   48.]	"[ 0.50872768  0.7030385   0.77133355 ...,  0.81844964  0.74105776
  0.54175806]"	"[ 0.10576459  0.12401951  0.14109864 ...,  0.15585758  0.13968852
  0.12050981]"
25	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00710144 -0.04479447 -0.04970336 ..., -0.03749959 -0.03200373
 -0.00216393]"	[ 769.  769.  768. ...,   32.   32.   32.]	"[ 0.53642898  0.73163474  0.80837543 ...,  0.79596494  0.71112078
  0.51405761]"	"[ 4.75742093  5.51938141  6.1778309  ...,  3.88013446  3.43227672
  2.93106194]"
26	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	[-0.00799614 -0.03619651 -0.04154254 ..., -0.00034395 -0.00097318  0.002305  ]	[  0.   0.   0. ...,  24.  56.  56.]	"[ 0.55794621  0.76450734  0.86275025 ...,  0.51443708  0.53766543
  0.41018309]"	"[ 2.35467869  2.66619924  2.91099363 ...,  0.12775781  0.09727615
  0.07580467]"
27	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00515868 -0.02496198 -0.02643048 ..., -0.00874595 -0.00880789
 -0.00151331]"	[  0.   0.   0. ...,  48.  48.  48.]	"[ 0.55031097  0.75122775  0.82883608 ...,  0.74934044  0.71668198
  0.53748733]"	"[ 1.35824373  1.57129561  1.71620801 ...,  0.28947773  0.25091397
  0.21560432]"
