	canny	fast	hessian	lbp	shape_index	structure
64	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00714097 -0.04462879 -0.0494571  ..., -0.04981392 -0.04495567
 -0.00719328]"	[ 256.  256.  256. ...,   56.   56.   56.]	"[ 0.53680241  0.73183957  0.80830146 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 4.71374048  5.46780782  6.11964025 ...,  6.20970491  5.54827107
  4.78310667]"
65	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00628858 -0.03740603 -0.04088468 ..., -0.02157075 -0.02335855
 -0.00538681]"	[ 256.  256.  256. ...,   56.   56.   56.]	"[ 0.53904486  0.73435193  0.8080741  ...,  0.75423143  0.73587131
  0.55441753]"	"[ 3.24653666  3.75602756  4.196196   ...,  1.75870845  1.55515297
  1.33310847]"
66	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00465471 -0.02490842 -0.02420319 ..., -0.04806279 -0.04319626
 -0.00784091]"	[ 513.  513.  513. ...,    0.    0.    0.]	"[ 0.54198076  0.72725763  0.76844861 ...,  0.81729642  0.73854249
  0.54308243]"	"[ 1.50905382  1.7426029   1.95781448 ...,  5.36035525  4.8041023
  4.15085942]"
67	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00515075 -0.03263445 -0.03727069 ..., -0.01259335 -0.00746766
  0.00229674]"	[ 768.  256.    0. ...,   24.   24.   24.]	"[ 0.53598673  0.72809613  0.80890186 ...,  0.94179299  0.69132939
  0.4475261 ]"	"[ 2.58460717  3.0148535   3.39539954 ...,  0.35950848  0.3296599
  0.29140299]"
68	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00401292 -0.02478669 -0.02770064 ..., -0.00888601 -0.00709482
  0.00252444]"	[ 768.  512.  512. ...,   56.   56.   56.]	"[ 0.53734757  0.73183449  0.81138716 ...,  0.72304137  0.63636326
  0.4547326 ]"	"[ 1.44600599  1.67172437  1.87335437 ...,  0.46435145  0.40122255
  0.33711669]"
69	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00448958 -0.03562523 -0.04699881 ..., -0.01109269 -0.01089463
  0.0018586 ]"	[  0.   0.   0. ...,  40.  56.  56.]	"[ 0.53019249  0.73468604  0.85678837 ...,  0.73184426  0.69482084
  0.46887561]"	"[ 2.78008492  3.2538314   3.63875959 ...,  0.68997507  0.59620885
  0.51852199]"
70	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.02194344 -0.03698022 -0.00788956 ..., -0.03004769 -0.02567351
 -0.00185989]"	[   0.    0.  513. ...,   56.    0.    0.]	"[ 0.76382003  0.97498045  0.63579164 ...,  0.77209886  0.69316456
  0.5140393 ]"	"[ 0.83327507  0.74952535  0.68575695 ...,  2.75368744  2.36938584
  2.03230375]"
71	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01009218 -0.03047291 -0.02464252 ..., -0.01450343 -0.01488336
 -0.00233235]"	[  0.   0.   0. ...,   8.  24.  24.]	"[ 0.60329387  0.82795011  0.82688584 ...,  0.85339141  0.79721332
  0.54367009]"	"[ 1.27529189  1.42215932  1.46032784 ...,  0.49775877  0.46690329
  0.42183725]"
72	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00627008 -0.0370884  -0.04575169 ..., -0.00718923 -0.00563019
  0.00047173]"	[ 256.  256.  512. ...,   24.   24.   56.]	"[ 0.54009449  0.73847277  0.8537375  ...,  0.75694637  0.68027785
  0.48510202]"	"[ 3.00112184  3.45448687  3.82413446 ...,  0.19495661  0.16710612
  0.1367495 ]"
73	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00222022 -0.01930535 -0.02269475 ..., -0.0053206  -0.00459283
 -0.00088834]"	[ 256.  256.  256. ...,    0.    0.    8.]	"[ 0.52501107  0.71874883  0.80279391 ...,  0.87174814  0.77023058
  0.55123962]"	"[ 0.99668544  1.17339107  1.32871023 ...,  0.04900627  0.04531237
  0.04031932]"
74	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00063846 -0.002766   -0.00224153 ..., -0.01466567 -0.00960056
  0.0027258 ]"	[ 769.  769.  769. ...,    8.    8.    8.]	"[ 0.54992495  0.71237994  0.69790697 ...,  0.87589421  0.6898629
  0.45118881]"	"[ 0.02117741  0.02496847  0.02904656 ...,  0.57118125  0.51333596
  0.45576876]"
75	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01508423 -0.04978064 -0.0485425  ..., -0.00713967 -0.00541238
 -0.00033187]"	[  0.   0.   0. ...,  40.  40.   8.]	"[ 0.58912007  0.79578943  0.86050835 ...,  0.86280766  0.73482842
  0.51417911]"	"[ 3.3709092   3.71564391  3.93662881 ...,  0.09497374  0.08597967
  0.07338862]"
76	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00777192 -0.01639133 -0.01314669 ..., -0.02849635 -0.03465579
 -0.00989067]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.65014832  0.81459932  0.80668887 ...,  0.83318696  0.82095881
  0.58824276]"	"[ 0.33109862  0.38306528  0.40339266 ...,  1.67584545  1.62411142
  1.53418645]"
77	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -9.03221145e-05  -5.25579194e-03  -6.11670432e-03 ...,  -3.66990335e-02
  -3.28794573e-02  -4.97288557e-03]"	[ 768.  768.  769. ...,   56.   56.   56.]	"[ 0.50286516  0.67315833  0.76696788 ...,  0.80935934  0.73035652
  0.53448863]"	"[ 0.10707885  0.12668581  0.14310831 ...,  3.37056244  3.01280158
  2.60220765]"
78	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00043621 -0.00457487 -0.00245635 ..., -0.00145874 -0.00064467
  0.00093252]"	[ 513.  769.  769. ...,   40.   56.    8.]	"[ 0.48570801  0.66599103  0.61382122 ...,  0.58599715  0.5355741
  0.45369839]"	"[ 0.12758366  0.14552664  0.1721618  ...,  0.0973554   0.07709687
  0.06069088]"
79	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00611479 -0.03940404 -0.04345032 ..., -0.03927904 -0.03756684
 -0.0060327 ]"	[ 257.  257.  769. ...,   56.   56.   16.]	"[ 0.53528955  0.72906096  0.80247372 ...,  0.77778553  0.72575583
  0.53589971]"	"[ 3.7585646   4.37513227  4.91271599 ...,  4.80714152  4.24737314
  3.62855356]"
80	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00562904 -0.03653463 -0.04119599 ..., -0.05374167 -0.03803887
 -0.00336744]"	[   0.  256.    0. ...,    8.    8.    8.]	"[ 0.53472373  0.7272075   0.80710339 ...,  0.88869965  0.7651135
  0.52430712]"	"[ 3.26705283  3.80758905  4.26757784 ...,  2.6263222   2.49291209
  2.13469382]"
81	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00156747 -0.00980902 -0.01030143 ..., -0.01323954 -0.01484575
 -0.00403503]"	[ 0.  1.  0. ...,  0.  0.  0.]	"[ 0.53436827  0.72577774  0.79890357 ...,  0.82815816  0.7904225
  0.57645069]"	"[ 0.26089952  0.31158171  0.34255433 ...,  0.38938293  0.36736158
  0.33778204]"
82	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01123676 -0.04311245 -0.03493894 ..., -0.00754068 -0.01002491
 -0.00988061]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.58552132  0.83528236  0.79228115 ...,  0.64548054  0.73025378
  0.79864543]"	"[ 2.44297881  2.68777496  2.8366571  ...,  0.36183639  0.26615021
  0.20892212]"
83	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00264371 -0.01722019 -0.01976209 ..., -0.03947263 -0.03118932
 -0.00193122]"	[ 256.  256.  768. ...,    0.   32.   32.]	"[ 0.53487426  0.72965317  0.81874482 ...,  0.82800766  0.71652905
  0.51328533]"	"[ 0.71712135  0.82286098  0.91922348 ...,  3.47029023  3.08404094
  2.65264038]"
84	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00721771 -0.04503511 -0.05008723 ..., -0.00338671  0.00648893
  0.01514489]"	[  1.   1.   1. ...,   0.  32.  56.]	"[ 0.53690807  0.73193473  0.81008352 ...,  0.58640085  0.37184031
  0.22587496]"	"[ 4.77263362  5.53234774  6.18732464 ...,  0.43531908  0.3419429
  0.24463713]"
85	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00582099 -0.03618021 -0.04004911 ..., -0.03769934 -0.03441066
 -0.0061987 ]"	[ 1.  1.  0. ...,  0.  0.  0.]	"[ 0.53703348  0.73195298  0.80796455 ...,  0.81549299  0.73949975
  0.5428036 ]"	"[ 3.09118065  3.58577124  4.01326995 ...,  3.37222156  3.03219514
  2.62308059]"
86	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[  5.51119598e-05  -1.73762715e-03  -2.72832117e-03 ...,  -2.53955659e-03
  -2.32584010e-03  -4.03415825e-04]"	[ 769.  769.  512. ...,   56.   56.   56.]	"[ 0.49444073  0.67128252  0.80311922 ...,  0.80466029  0.73315462
  0.54028211]"	"[ 0.01313234  0.01587067  0.01870824 ...,  0.01613955  0.01441933
  0.01242576]"
87	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00270997 -0.015648   -0.01928519 ..., -0.00240229 -0.00292966
 -0.00119773]"	[  0.   0.   0. ...,  56.  40.  40.]	"[ 0.54535041  0.75812788  0.8729551  ...,  0.86767217  0.7925154
  0.61842187]"	"[ 0.42279144  0.49193785  0.53893862 ...,  0.01191758  0.01147252
  0.01093641]"
88	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00574125 -0.04269548 -0.05000526 ..., -0.04777702 -0.04311743
 -0.00689914]"	[ 256.    0.    0. ...,   40.   40.   40.]	"[ 0.53022552  0.72580304  0.81530727 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 4.48078374  5.21502677  5.85880803 ...,  5.71225549  5.10380804
  4.39993973]"
89	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00071578 -0.00698965 -0.00244432 ..., -0.04203546 -0.03836884
 -0.00565679]"	[ 769.  769.  512. ...,    8.   40.    8.]	"[ 0.53846533  0.93636741  0.63405418 ...,  0.80469638  0.73195672
  0.53370496]"	"[ 0.06743133  0.07017441  0.06572723 ...,  4.58529394  4.10404928
  3.53430655]"
90	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00190269 -0.00041051 -0.0013944  ..., -0.00281816 -0.00180548
  0.00134193]"	[ 769.  769.  769. ...,   56.   56.   56.]	"[ 0.40430408  0.51998395  0.56840927 ...,  0.71364562  0.60988831
  0.42768227]"	"[ 0.05456061  0.07297537  0.09638364 ...,  0.0671447   0.05580816
  0.04690916]"
91	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00633893 -0.03961628 -0.04389751 ..., -0.00943096 -0.0047673
  0.00509263]"	[ 769.  769.  769. ...,   24.   24.   24.]	"[ 0.53680222  0.73183853  0.80827128 ...,  0.88435762  0.63550283
  0.3810334 ]"	"[ 3.71439786  4.30859849  4.8222455  ...,  0.31558413  0.29619508
  0.2797711 ]"
92	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00283142 -0.01015329 -0.00661353 ..., -0.03756715 -0.03634642
 -0.01013229]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.56025636  0.71979281  0.70523111 ...,  0.85745036  0.78609518
  0.5790079 ]"	"[ 0.23238023  0.2573634   0.28826564 ...,  2.48993431  2.32767053
  2.06690452]"
93	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01267024 -0.03909732 -0.04348957 ..., -0.00581456 -0.00603433
 -0.00151215]"	[  0.   0.   0. ...,  40.   8.   8.]	"[ 0.61595904  0.83872546  0.88364396 ...,  0.79881018  0.75677947
  0.56339213]"	"[ 1.45179348  1.63518858  1.66242434 ...,  0.08904797  0.0808986
  0.07037761]"
94	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00622361 -0.0332405  -0.03594809 ..., -0.00647413 -0.00605321
 -0.00188229]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.54505198  0.74308878  0.81684851 ...,  0.82114845  0.76983017
  0.58668587]"	"[ 2.3891622   2.74429444  3.04567827 ...,  0.07600331  0.06828787
  0.05757645]"
95	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0020958  -0.03026287 -0.03682632 ..., -0.00666029 -0.00528953
  0.00017574]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.51461402  0.71646265  0.82462147 ...,  0.77289192  0.68089474
  0.49399621]"	"[ 2.57438934  2.9589578   3.30471288 ...,  0.14719777  0.12755871
  0.10608138]"
96	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00444069 -0.01140857 -0.01028316 ..., -0.00801435 -0.00879919
 -0.00280977]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.62217734  0.80225587  0.81714764 ...,  0.85728665  0.81928161
  0.60396575]"	"[ 0.17134955  0.20066832  0.21993048 ...,  0.09879513  0.09471869
  0.08389399]"
97	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00179494 -0.00925204 -0.01273605 ..., -0.04981392 -0.04495567
 -0.00719328]"	[ 769.  769.  769. ...,   56.   56.   56.]	"[ 0.47210968  0.64606085  0.72671602 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 0.57166663  0.69728386  0.83361018 ...,  6.20970491  5.54827107
  4.78310667]"
98	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01130482 -0.04466634 -0.04590657 ..., -0.00294131 -0.01646739
 -0.00761836]"	[  0.   0.   0. ...,  56.  56.  32.]	"[ 0.5682993   0.76777974  0.82012594 ...,  0.57361887  0.8356732
  0.62686307]"	"[ 3.3966217   3.87408466  4.23011565 ...,  0.6802458   0.69113473
  0.58020614]"
99	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00346422 -0.00661798 -0.00536071 ..., -0.00148953 -0.00146753
 -0.00016803]"	[  0.   0.   0. ...,  16.   0.   0.]	"[ 0.6686166   0.78583863  0.74901061 ...,  0.84074021  0.7582052
  0.52617323]"	"[ 0.05033108  0.06533082  0.07320301 ...,  0.00601391  0.00586976
  0.00532395]"
100	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00320305 -0.01262868 -0.01276724 ..., -0.01507689 -0.01325516
 -0.00148665]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.56482723  0.75689718  0.81528206 ...,  0.80073636  0.71758371
  0.52391018]"	"[ 0.30591663  0.34936623  0.38478941 ...,  0.63698404  0.56693787
  0.48932093]"
101	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00679002 -0.04743742 -0.06511082 ...,  0.00111086 -0.00163036
  0.00324537]"	[  0.   0.   0. ...,  40.  56.  56.]	"[ 0.53562328  0.74397439  0.88474035 ...,  0.46990728  0.54176671
  0.41716158]"	"[ 4.53011348  5.29917199  5.88335621 ...,  0.34680857  0.26006153
  0.20103712]"
102	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -2.84008994e-03  -1.27346778e-02  -1.35933458e-02 ...,  -4.69095122e-05
   5.12860367e-04   6.17147545e-04]"	[  0.   0.   0. ...,  32.  48.  48.]	"[ 0.55565261  0.74654835  0.81049979 ...,  0.51897394  0.17763678
 -0.0173161 ]"	"[  3.22380237e-01   3.84033170e-01   4.30123882e-01 ...,   9.24561580e-04
   6.08566707e-04   2.87705905e-04]"
103	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00225738 -0.00882951 -0.00940699 ..., -0.0067893  -0.00596128
 -0.00060406]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.56870975  0.76983316  0.85164547 ...,  0.83279497  0.73368055
  0.52271974]"	"[ 0.13096235  0.14807209  0.16038874 ...,  0.11213783  0.10149848
  0.08924505]"
104	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00558511 -0.02946819 -0.03241028 ..., -0.04054207 -0.03487758
 -0.0088719 ]"	[   0.    0.  768. ...,    0.    0.    0.]	"[ 0.5439227   0.73036119  0.79672757 ...,  0.84927796  0.75834643
  0.56681132]"	"[ 2.04046699  2.39520632  2.69838845 ...,  2.78649024  2.52149349
  2.20280848]"
105	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00069822 -0.01184229 -0.01465194 ..., -0.00582163 -0.00594736
 -0.00156597]"	[ 256.  256.    0. ...,   56.   24.   24.]	"[ 0.51219562  0.71541381  0.84237485 ...,  0.7719865   0.73897254
  0.56485964]"	"[ 0.40430061  0.45559928  0.50293125 ...,  0.1030556   0.09074379
  0.07823679]"
106	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.0236512  -0.05015955 -0.05206188 ..., -0.00029747  0.0108348
  0.02070746]"	[  0.   0.   0. ...,   0.  56.  56.]	"[ 0.6230767   0.72341042  0.7313564  ...,  0.50288077  0.36895564
  0.18019328]"	"[ 3.30728657  4.21678152  4.86996636 ...,  1.49412873  1.13314878
  0.76312939]"
107	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00523156 -0.02216692 -0.02207037 ..., -0.00782723 -0.00850561
 -0.00209589]"	[ 257.  257.  257. ...,   48.   48.    0.]	"[ 0.5582652   0.7450419   0.78712949 ...,  0.75709412  0.73960443
  0.55747651]"	"[ 1.00650264  1.1753705   1.3153269  ...,  0.23281233  0.20871061
  0.17576266]"
108	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.01195593 -0.05500008 -0.07210527 ..., -0.04981392 -0.04495567
 -0.00719328]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.56210551  0.78290277  0.92463914 ...,  0.80827128  0.73183853
  0.53680222]"	"[ 4.61198225  5.23371912  5.5752595  ...,  6.20970491  5.54827107
  4.78310667]"
109	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00044246 -0.01688145 -0.02199742 ...,  0.00232818  0.00124068
  0.00194345]"	[ 769.  513.    0. ...,   56.   56.   24.]	"[ 0.50544443  0.71061898  0.83295244 ...,  0.07062793  0.39042589
  0.36514514]"	"[ 0.81995324  0.94524115  1.0664444  ...,  0.05224854  0.05216205
  0.04597505]"
110	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00173938 -0.02011141 -0.02575129 ...,  0.00159586  0.00737059
  0.01478513]"	[ 769.  769.  769. ...,   24.   24.   24.]	"[ 0.48438813  0.6855749   0.78682869 ...,  0.41461398  0.29962489
  0.19410141]"	"[ 1.58692382  1.83340603  2.09499552 ...,  0.35315094  0.32566831
  0.30051377]"
111	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00474929 -0.0283598  -0.03129743 ..., -0.03554546 -0.02400445
 -0.00461381]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.53905602  0.73477776  0.81002495 ...,  0.87861531  0.72827681
  0.54529519]"	"[ 1.85168425  2.14984097  2.40406743 ...,  1.66766632  1.48445977
  1.24542659]"
112	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.02323883 -0.06327801 -0.05798157 ..., -0.04129881 -0.03869235
 -0.00775866]"	[  0.   0.   0. ...,  32.  48.  32.]	"[ 0.62165493  0.82587657  0.85260171 ...,  0.79808974  0.73668086
  0.54776122]"	"[ 4.44520467  5.00884686  5.25911096 ...,  4.39983807  3.90785918
  3.32005951]"
113	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00406838 -0.02033951 -0.02003504 ..., -0.01148643 -0.01030921
 -0.00205768]"	[ 768.  768.  768. ...,   48.   48.   48.]	"[ 0.54461379  0.72715804  0.77045279 ...,  0.84592663  0.76479892
  0.55283387]"	"[ 1.05572965  1.24490817  1.39692276 ...,  0.24609156  0.22467614
  0.1959945 ]"
114	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00013117 -0.00738805 -0.00875975 ..., -0.01719369 -0.01411325
 -0.00134326]"	[ 769.  769.  769. ...,    8.    8.    8.]	"[ 0.49664343  0.69570234  0.78614545 ...,  0.82286594  0.71187623
  0.51978059]"	"[ 0.18698764  0.22015125  0.24919975 ...,  0.69570363  0.62340601
  0.54477004]"
115	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00358881 -0.01176656 -0.01137359 ..., -0.01108834 -0.00831767
 -0.00074266]"	[   1.    1.  513. ...,    8.    8.   40.]	"[ 0.57720823  0.75344017  0.80293548 ...,  0.89385073  0.7375212
  0.52085855]"	"[ 0.27009425  0.30621933  0.33986596 ...,  0.19877666  0.18129695
  0.16362438]"
116	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00497616 -0.01313084 -0.00940288 ..., -0.03518762 -0.03154892
 -0.00490866]"	[ 769.  769.  769. ...,   56.   56.   56.]	"[ 0.58466902  0.70440971  0.66106709 ...,  0.81555484  0.73577224
  0.53625756]"	"[ 0.41383391  0.5485458   0.64889376 ...,  2.98705064  2.67759685
  2.31573656]"
117	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00466034 -0.03544665 -0.04046636 ..., -0.0196283  -0.01706133
 -0.00134217]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.52953656  0.72638426  0.80895208 ...,  0.81142065  0.71796597
  0.5166377 ]"	"[ 3.13266308  3.65732065  4.10602659 ...,  1.02637361  0.92065622
  0.80361405]"
118	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00368833 -0.02414475 -0.02681125 ..., -0.03343803 -0.03049225
 -0.00495407]"	[ 769.  769.  769. ...,    0.   24.   24.]	"[ 0.53506964  0.7325002   0.81153845 ...,  0.80701915  0.7329728
  0.53752784]"	"[ 1.38906814  1.6064257   1.79070981 ...,  2.8250675   2.52754539
  2.18112629]"
119	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.00062685 -0.00147324 -0.00229396 ..., -0.024665   -0.01477061
  0.00235504]"	[ 513.    1.    1. ...,    0.   40.   56.]	"[ 0.43944751  0.65363218  0.77649179 ...,  0.8162849   0.66060985
  0.47397791]"	"[ 0.01412999  0.01714659  0.01987962 ...,  1.27605593  1.09631622
  0.8998091 ]"
120	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00039493 -0.00246815 -0.00273488 ..., -0.02858207 -0.02813601
 -0.00905085]"	[ 769.  769.  769. ...,    0.    0.    0.]	"[ 0.53680222  0.73183853  0.80827128 ...,  0.83526179  0.78888954
  0.59740908]"	"[ 0.01441736  0.01672374  0.01871745 ...,  1.41983685  1.29984238
  1.15347866]"
121	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00240127 -0.00942965 -0.00965504 ..., -0.00014733 -0.00102865
 -0.00073713]"	[  0.   0.   0. ...,  56.  56.  56.]	"[ 0.56362285  0.74627477  0.79296605 ...,  0.57363731  0.91728004
  0.80824764]"	"[ 0.17482767  0.20755386  0.23211167 ...,  0.00110123  0.00101157
  0.00107084]"
122	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00438096 -0.0273634  -0.03050058 ..., -0.02750921 -0.02736988
 -0.00848198]"	[ 0.  0.  0. ...,  0.  0.  0.]	"[ 0.53697173  0.7327698   0.81071946 ...,  0.80450933  0.75529265
  0.58169289]"	"[ 1.76416047  2.04509017  2.28797097 ...,  1.60869637  1.45409884
  1.23036233]"
123	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[ -5.65734449e-05  -4.08000854e-04  -5.82511768e-04 ...,  -3.86416224e-04
  -4.38660886e-04  -7.08231033e-05]"	[  1.   1.   1. ...,  56.  56.  56.]	"[ 0.54266715  0.73083434  0.74903551 ...,  0.74393802  0.72618828
  0.53595852]"	[ 0.00050023  0.00068531  0.00083541 ...,  0.00063783  0.00056548  0.000487  ]
124	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00438502 -0.02155195 -0.02211193 ..., -0.02971969 -0.02686008
 -0.00389829]"	[   0.    0.  257. ...,   32.   32.   32.]	"[ 0.54644894  0.73301415  0.79964398 ...,  0.80357435  0.73205683
  0.53342557]"	"[ 1.08159425  1.23437389  1.36954274 ...,  2.25490495  2.0092669
  1.72582151]"
125	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00239976 -0.00859031 -0.00966728 ..., -0.01973777 -0.00182137
  0.02184928]"	[  0.   0.   1. ...,  24.  56.  56.]	"[ 0.58205851  0.78290337  0.87139672 ...,  0.94483504  0.52040578
  0.31348017]"	"[ 0.10059103  0.11239889  0.12241665 ...,  1.90260743  1.79963811
  1.73209907]"
126	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00062749 -0.01630443 -0.01927638 ..., -0.01720959 -0.01124307
  0.00132768]"	[ 0.  0.  0. ...,  0.  0.  8.]	"[ 0.50761338  0.70418533  0.79005197 ...,  0.83897042  0.68409202
  0.47837877]"	"[ 0.8447992   0.99015924  1.12243752 ...,  0.56942044  0.49964015
  0.43924483]"
127	[0 0 0 ..., 0 0 0]	[ 0.  0.  0. ...,  0.  0.  0.]	"[-0.00710355 -0.04429907 -0.04910935 ..., -0.04477164 -0.04013667
 -0.00643486]"	[   0.  256.  256. ...,    8.    8.    8.]	"[ 0.53689196  0.73188716  0.80853578 ...,  0.81114041  0.73249546
  0.53699687]"	"[ 4.63940637  5.38135888  6.02248077 ...,  4.90960225  4.38997353
  3.78545453]"
